Competition ID;Competition Name;Competition URL;YouTube-Channel;Video ID;Video FPS;Video Res.;Video Bitrate;Climber ID;Climber Name;Start Time;End Time;Start Frame;End Frame;Frames Uncut;Frames Cut;Left or Right Climber;Spotlight;Gender;Offset;Start at Rest
1;IFSC Climbing World Cup Nanjing 2016 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=Qq09dwP9Zq8;International Federation of Sport Climbing;Qq09dwP9Zq8;25;FULLHD;1996 kBit/s;1;Evgenii Vaitsekhovsky;00:19:49,192;00:19:56,452;23;179;182;157;R;no;male;0;no
1;IFSC Climbing World Cup Nanjing 2016 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=Qq09dwP9Zq8;International Federation of Sport Climbing;Qq09dwP9Zq8;25;FULLHD;1996 kBit/s;2;Leonardo Gontero;00:20:57,579;00:21:04,512;21;168;175;148;R;no;male;0;no
1;IFSC Climbing World Cup Nanjing 2016 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=Qq09dwP9Zq8;International Federation of Sport Climbing;Qq09dwP9Zq8;25;FULLHD;1996 kBit/s;3;Syafiiyah Dhorifatus;00:06:08,094;00:06:18,882;19;261;271;243;R;no;female;0;no
1;IFSC Climbing World Cup Nanjing 2016 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=Qq09dwP9Zq8;International Federation of Sport Climbing;Qq09dwP9Zq8;25;FULLHD;1996 kBit/s;4;Zhuoma Pubu;00:07:11,432;00:07:22,441;16;263;276;248;R;no;female;0;no
2;IFSC Climbing World Cup Chongqing 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=_6bNLr-gFWY;International Federation of Sport Climbing;_6bNLr-gFWY;25;FULLHD;1897 kBit/s;5;PengHui Lin;00:09:16,484;00:09:23.741;0;177;183;178;R;no;male;0;yes
2;IFSC Climbing World Cup Chongqing 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=_6bNLr-gFWY;International Federation of Sport Climbing;_6bNLr-gFWY;25;FULLHD;1897 kBit/s;6;Georgy Artamonov;00:16:23,145;00:16:30,011;0;163;172;164;R;no;male;0;yes
2;IFSC Climbing World Cup Chongqing 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=_6bNLr-gFWY;International Federation of Sport Climbing;_6bNLr-gFWY;25;FULLHD;1897 kBit/s;7;Edyta Ropek;00:22:19,212;00:22:29,252;0;245;252;246;R;no;female;100;yes
2;IFSC Climbing World Cup Chongqing 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=_6bNLr-gFWY;International Federation of Sport Climbing;_6bNLr-gFWY;25;FULLHD;1897 kBit/s;8;Elena Markusheva;00:19:21,178;00:19:30,592;0;224;237;225;L;no;female;0;yes
3;IFSC Climbing World Cup Xiamen 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=m7z_7rhcMrg;International Federation of Sport Climbing;m7z_7rhcMrg;25;FULLHD;2362 kBit/s;9;Kostiantyn Pavlenko;00:18:36,935;00:18:43,772;0;169;172;170;R;no;male;0;yes
3;IFSC Climbing World Cup Xiamen 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=m7z_7rhcMrg;International Federation of Sport Climbing;m7z_7rhcMrg;25;FULLHD;2362 kBit/s;10;Yulianto Abudzar;00:20:28,466;00:20:35,292;0;161;171;162;R;no;male;0;no
3;IFSC Climbing World Cup Xiamen 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=m7z_7rhcMrg;International Federation of Sport Climbing;m7z_7rhcMrg;25;FULLHD;2362 kBit/s;11;Elena Timofeeva;00:10:58,780;00:11:07,972;0;223;231;224;R;no;female;0;yes
3;IFSC Climbing World Cup Xiamen 2017 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=m7z_7rhcMrg;International Federation of Sport Climbing;m7z_7rhcMrg;25;FULLHD;2362 kBit/s;12;Alla Marenych;00:16:08,010;00:16:18,041;0;242;252;243;R;no;female;0;yes
4;IFSC Climbing World Cup Villars 2018 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=-_x798uYXlg;International Federation of Sport Climbing;-_x798uYXlg;25;FULLHD;3441 kBit/s;13;Michael Finn-Henry;00:21:28,261;00:21:35,822;0;180;190;181;R;yes;male;0;yes
4;IFSC Climbing World Cup Villars 2018 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=-_x798uYXlg;International Federation of Sport Climbing;-_x798uYXlg;25;FULLHD;3441 kBit/s;14;Reza Alipour Shenazandifar;00:24:18,341;00:24:24,382;0;145;152;146;L;yes;male;100;no
4;IFSC Climbing World Cup Villars 2018 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=-_x798uYXlg;International Federation of Sport Climbing;-_x798uYXlg;25;FULLHD;3441 kBit/s;15;Klaudia Buczek;00:10:46,482;00:10:56,131;14;233;243;220;L;yes;female;0;no
4;IFSC Climbing World Cup Villars 2018 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=-_x798uYXlg;International Federation of Sport Climbing;-_x798uYXlg;25;FULLHD;3441 kBit/s;16;Elizaveta Ivanova;00:13:45,823;00:13:56,132;0;248;258;249;R;yes;female;0;yes
5;IFSC Climbing World Cup Chamonix 2018 - Speed - Finals - Men/Women;https://www.youtube.com/watch?v=fLwHcImYUr8;International Federation of Sport Climbing;fLwHcImYUr8;25;FULLHD;2331 kBit/s;17;JinXin Li;00:22:05,664;00:22:13,021;0;173;184;174;R;yes;male;0;no
